Release,Gross,Theaters,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Babylon,6268558,3351,3603368,3343,7.1,165238,45,100
Dream Scenario,5615011,1578,220035,6,7.0,46723,68,91
The Fabelmans,5541550,1962,161579,4,7.5,115514,83,92
Waitress: The Musical,5402148,1214,2847421,1214,8.0,1528,98,100
Women Talking,5321627,707,40530,8,6.9,41407,80,90
Kandahar,4813132,2105,2325388,2105,6.1,32453,75,89
Hypnotic,4500169,2118,2401686,2118,5.5,34202,24,24
Marlowe,4350243,2281,1814094,2281,5.3,11033,53,63
The Amazing Maurice,4303645,1717,1463195,1712,6.2,5461,68,73
Mummies,4275970,384,422183,225,5.9,8812,88,53
Theater Camp,4009945,555,301220,6,6.9,15650,79,86
Anatomy of a Fall,3742039,583,117848,5,7.8,96330,90,96
Chevalier,3541159,1281,1521288,1275,6.5,6704,52,83
Mafia Mamma,3496761,2002,2032202,2002,5.4,10349,67,21
A Thousand and One,3400020,926,1795695,926,7.0,6697,85,97
Violent Night,3278955,3723,13450240,3682,6.7,98294,88,73
What Happens Later,3273895,1492,1522750,1492,4.8,2430,28,50
The Menu,2779574,3228,9004957,3211,7.2,386839,76,88
Tu Jhoothi Main Makkaar,2503604,400,959688,400,6.0,27270,62,33
The Miracle Club,2377438,677,664607,677,6.3,3078,83,66
A Good Person,2210465,687,832007,530,7.1,21333,96,58
Skinamarink,2052272,809,818943,692,4.8,15382,44,72
Jules,1924922,780,839622,780,6.8,10112,90,85
Somewhere in Queens,1802442,602,671280,602,6.8,4807,92,90
The Marsh King's Daughter,1792905,1055,849006,1055,5.9,8988,73,41
Creation of the Gods I: Kingdom of Storms,1686246,115,931140,115,6.8,3583,91,56
American Fiction,1655483,1902,224469,7,7.6,60445,96,93
Polite Society,1595585,927,817740,927,6.6,9987,84,90
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,1588491,1473,1588491,1473,6.8,1708,93,53
The Banshees of Inisherin,1555301,1205,184454,4,7.7,250192,75,96
The Quiet Girl,1500014,244,59149,6,7.7,21669,93,97
BlackBerry,1476598,449,492145,449,7.4,39588,94,98
Dicks: The Musical,1453012,635,201951,7,5.4,2869,66,67
Eileen,1425273,558,93290,6,6.0,10184,53,83
Maybe I Do,1293722,465,546060,465,5.0,8852,61,33
The First Slam Dunk,1291869,581,662211,581,8.2,6496,98,100
The Big Lebowski,1266945,1235,5533844,1207,8.1,857214,93,80
Back to the Future,1240710,1550,11152500,1420,8.5,1300466,94,93
The Lost King,1189307,753,516462,753,6.7,7982,92,77
Camp Hideout,1125010,848,489439,848,4.7,936,70,33
Strange World,1120039,4174,12151384,4174,5.7,45408,66,72
Knights of the Zodiac,1090155,588,557533,588,4.4,12523,60,21
Broker,1001892,271,3265,3,7.1,16389,72,94
The Roundup: No Way Out,909411,41,192568,41,6.6,4764,96,100
