Release,Gross,Theaters,Release Date,Info_url,uid,openingGross,openingTheaters,IMDb_Rating,IMDb_numVotes,rt_audiencescore,rt_tomatometerscores
Somewhere in Queens,"$1,802,442",602,Apr 21,/release/rl1978434305/?ref_=bo_yld_table_168,tt14097180,"$671,280",602,6.8,4807,92,90
The Marsh King's Daughter,"$1,792,905","1,055",Nov 3,/release/rl280265473/?ref_=bo_yld_table_169,tt8002382,"$849,006","1,055",5.9,8988,73,41
Oldboy2023 Re-release,"$1,750,719",250,Aug 16,/release/rl2460451585/?ref_=bo_yld_table_170,tt0364569,"$493,386",250,8.3,632068,unknown,unknown
Winnie-the-Pooh: Blood and Honey,"$1,750,639","1,652",Feb 15,/release/rl3925050113/?ref_=bo_yld_table_171,tt19623240,"$652,482",445,2.9,27260,unknown,unknown
Fear,"$1,735,359",974,Jan 27,/release/rl772702977/?ref_=bo_yld_table_172,tt12830948,"$1,227,545",974,3.6,1625,42,
Lost in the Stars,"$1,721,446",-,Jul 7,/release/rl883393281/?ref_=bo_yld_table_173,tt17507018,"$806,815",unknown,6.5,2311,,
Creation of the Gods I: Kingdom of Storms,"$1,686,246",115,Sep 22,/release/rl1487569665/?ref_=bo_yld_table_174,tt6979756,"$931,140",115,6.8,3583,91,56
American Fiction,"$1,655,483","1,902",Dec 15,/release/rl2073330433/?ref_=bo_yld_table_175,tt23561236,"$224,469",7,7.6,60445,96,93
Polite Society,"$1,595,585",927,Apr 28,/release/rl1407615745/?ref_=bo_yld_table_176,tt18257464,"$817,740",927,6.6,9987,84,90
That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,"$1,588,491","1,473",Jan 20,/release/rl3522724609/?ref_=bo_yld_table_177,tt15467380,"$1,588,491","1,473",6.8,1708,93,53
The Banshees of Inisherin,"$1,555,301","1,205",Oct 21,/release/rl925926145/?ref_=bo_yld_table_178,tt11813216,"$184,454",4,7.7,250192,75,96
The Quiet Girl,"$1,500,014",244,Feb 24,/release/rl3213067009/?ref_=bo_yld_table_179,tt15109082,"$59,149",6,7.7,21669,93,97
BlackBerry,"$1,476,598",449,May 12,/release/rl3388965633/?ref_=bo_yld_table_180,tt21867434,"$492,145",449,7.4,39588,94,98
Spirited Away2023 Re-release (Live on Stage),"$1,455,081","1,046",Apr 23,/release/rl284984065/?ref_=bo_yld_table_181,tt0245429,"$700,271","1,046",8.6,843509,unknown,unknown
Dicks: The Musical,"$1,453,012",635,Oct 6,/release/rl1084523265/?ref_=bo_yld_table_182,tt7130916,"$201,951",7,5.4,2869,66,67
Eileen,"$1,425,273",558,Dec 1,/release/rl893747201/?ref_=bo_yld_table_183,tt5198890,"$93,290",6,6.0,10184,53,83
Maybe I Do,"$1,293,722",465,Jan 27,/release/rl1240236801/?ref_=bo_yld_table_184,tt20879602,"$546,060",465,5.0,8852,61,33
The First Slam Dunk,"$1,291,869",581,Jul 28,/release/rl1587315457/?ref_=bo_yld_table_185,tt15242330,"$662,211",581,8.2,6496,98,100
Billie Eilish Live at the O2,"$1,290,000",600,Jan 27,/release/rl2331673345/?ref_=bo_yld_table_186,tt26348071,"$1,290,000",600,8.0,172,unknown,unknown
The Big Lebowski,"$1,266,945","1,235",Mar 6,/release/rl239568385/?ref_=bo_yld_table_187,tt0118715,"$5,533,844","1,207",8.1,857214,93,80
Back to the Future,"$1,240,710","1,550",Jul 3,/release/rl2974385665/?ref_=bo_yld_table_188,tt0088763,"$11,152,500","1,420",8.5,1300466,94,93
Tár,"$1,193,875","1,090",Oct 7,/release/rl605979393/?ref_=bo_yld_table_189,tt14444726,"$158,620",4,7.4,92725,unknown,unknown
The Lost King,"$1,189,307",753,Mar 24,/release/rl2749203201/?ref_=bo_yld_table_190,tt13421498,"$516,462",753,6.7,7982,92,77
The Lord of the Rings: The Return of the King2023 Re-release (20th Anniversary),"$1,176,085","1,107",Apr 13,/release/rl3984687873/?ref_=bo_yld_table_191,tt0167260,unknown,unknown,9.0,1969425,unknown,unknown
Camp Hideout,"$1,125,010",848,Sep 15,/release/rl530678529/?ref_=bo_yld_table_192,tt14051976,"$489,439",848,4.7,936,70,33
Strange World,"$1,120,039","4,174",Nov 23,/release/rl3422914049/?ref_=bo_yld_table_193,tt10298840,"$12,151,384","4,174",5.7,45408,66,72
Close,"$1,100,113",233,Jan 27,/release/rl2079163137/?ref_=bo_yld_table_194,tt9660502,"$61,376",4,7.8,33824,,
Emily,"$1,097,067",579,Feb 17,/release/rl2666693377/?ref_=bo_yld_table_195,tt12374656,"$40,287",5,6.8,8002,,
Knights of the Zodiac,"$1,090,155",588,May 12,/release/rl4203184897/?ref_=bo_yld_table_196,tt6528290,"$557,533",588,4.4,12523,60,21
Broker,"$1,001,892",271,Dec 23,/release/rl586646273/?ref_=bo_yld_table_197,tt13056052,"$3,265",3,7.1,16389,72,94
Showing Up,"$972,074",115,Apr 7,/release/rl956203777/?ref_=bo_yld_table_198,tt13923216,"$63,418",4,6.4,5211,80,
Inside,"$918,415",357,Mar 17,/release/rl132023041/?ref_=bo_yld_table_199,tt14781036,"$510,110",357,5.5,16635,36,
The Roundup: No Way Out,"$909,411",41,Jun 2,/release/rl1100317441/?ref_=bo_yld_table_200,tt21364552,"$192,568",41,6.6,4764,96,100
